"id","studyID","pubMedID","author","studyScore","ethnicity","cohort","title","lastUpdated"
"1201","GCST004201","28274756","Mhatre S 2017","149.25","South Asian",3599,"Common genetic variation and risk of gallbladder cancer in India: a case-control genome-wide association study.","2020-05-08"
"1202","GCST004224","28355232","Ward-Caviness CK 2017","1.75","African American or Afro-Caribbean|European",2100,"A genome-wide trans-ethnic interaction study links the PIGR-FCAMR locus to coronary atherosclerosis via interactions between genetic variants and residential exposure to traffic.","2020-05-08"
"1203","GCST004226","28355295","Hong EP 2017","0.5","East Asian",2459,"Risk prediction of pulmonary tuberculosis using genetic and conventional risk factors in adult Korean population.","2020-05-08"
"1204","GCST004227","28424481","Sugiura-Ogasawara M 2017","0.25","East Asian",534,"The first genome-wide association study identifying new susceptibility loci for obstetric antiphospholipid syndrome.","2020-05-08"
"1205","GCST004239","28371326","Zhu Y 2017","0.5","East Asian",12720,"Susceptibility loci for metabolic syndrome and metabolic components identified in Han Chinese: a multi-stage genome-wide association study.","2020-05-08"
"1206","GCST004246","28183528","Jun GR 2017","31.73","European|African American or Afro-Caribbean|East Asian|Greater Middle Eastern (Middle Eastern, North African or Persian)",59550,"Transethnic genome-wide scan identifies novel Alzheimer's disease loci.","2020-05-08"
"1207","GCST004247","28183528","Jun GR 2017","31.73","European|African American or Afro-Caribbean|East Asian|Greater Middle Eastern (Middle Eastern, North African or Persian)",59622,"Transethnic genome-wide scan identifies novel Alzheimer's disease loci.","2020-05-08"
"1208","GCST004249","28183528","Jun GR 2017","31.73","European|African American or Afro-Caribbean|East Asian|Greater Middle Eastern (Middle Eastern, North African or Persian)",32968,"Transethnic genome-wide scan identifies novel Alzheimer's disease loci.","2020-05-08"
"1209","GCST004250","28090653","Liu Y 2017","2.7","European|African American or Afro-Caribbean|Hispanic or Latin American|Other",715,"Genome-Wide Study Links PNPLA3 Variant With Elevated Hepatic Transaminase After Acute Lymphoblastic Leukemia Therapy.","2020-05-08"
"1210","GCST004256","28373160","Klarin D 2017","9.25","European",187907,"Genetic Analysis of Venous Thromboembolism in UK Biobank Identifies the ZFPM2 Locus and Implicates Obesity as a Causal Risk Factor.","2020-05-08"
"1211","GCST004261","28388302","Petros Z 2017","0.75","African unspecified",380,"Genome-Wide Association and Replication Study of Hepatotoxicity Induced by Antiretrovirals Alone or with Concomitant Anti-Tuberculosis Drugs.","2020-05-08"
"1212","GCST004262","28388302","Petros Z 2017","0.75","African unspecified",302,"Genome-Wide Association and Replication Study of Hepatotoxicity Induced by Antiretrovirals Alone or with Concomitant Anti-Tuberculosis Drugs.","2020-05-08"
"1213","GCST004263","28358823","Kim SK 2017","4.75","European|Hispanic or Latin American|East Asian|African American or Afro-Caribbean|South East Asian",102979,"Genome-wide association screens for Achilles tendon and ACL tears and tendinopathy.","2020-05-08"
"1214","GCST004265","28358823","Kim SK 2017","4.75","European|Hispanic or Latin American|East Asian",99342,"Genome-wide association screens for Achilles tendon and ACL tears and tendinopathy.","2020-05-08"
"1215","GCST004270","28437668","Jung J 2017","0.75","European",98,"Genome-wide association study of treatment response to venlafaxine XR in generalized anxiety disorder.","2020-05-08"
"1216","GCST004273","28437668","Jung J 2017","0.75","European",98,"Genome-wide association study of treatment response to venlafaxine XR in generalized anxiety disorder.","2020-05-08"
"1217","GCST004274","28437668","Jung J 2017","0.75","European",98,"Genome-wide association study of treatment response to venlafaxine XR in generalized anxiety disorder.","2020-05-08"
"1218","GCST004275","28437668","Jung J 2017","0.75","European",98,"Genome-wide association study of treatment response to venlafaxine XR in generalized anxiety disorder.","2020-05-08"
"1219","GCST004288","28334814","Zhu Z 2017","0.75","East Asian",14024,"Genome-wide association study identifies novel susceptible loci and highlights Wnt/beta-catenin pathway in the development of adolescent idiopathic scoliosis.","2020-05-08"
"1220","GCST004290","28445677","Steri M 2017","212.304","European",25344,"Overexpression of the Cytokine BAFF and Autoimmunity Risk.","2020-05-08"
"1221","GCST004295","28416818","Christophersen IE 2017","59.92","East Asian|African American or Afro-Caribbean|Hispanic or Latin American|European",169865,"Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.","2020-05-08"
"1222","GCST004296","28416818","Christophersen IE 2017","59.92","East Asian|African American or Afro-Caribbean|Hispanic or Latin American|European",276591,"Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.","2020-05-08"
"1223","GCST004297","28416818","Christophersen IE 2017","59.92","European",118755,"Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.","2020-05-08"
"1224","GCST004298","28416818","Christophersen IE 2017","59.92","East Asian",40922,"Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.","2020-05-08"
"1225","GCST004299","28416818","Christophersen IE 2017","59.92","African American or Afro-Caribbean",6764,"Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.","2020-05-08"
"1226","GCST004300","28416818","Christophersen IE 2017","59.92","European",110099,"Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.","2020-05-08"
"1227","GCST004301","28416818","Christophersen IE 2017","59.92","European",111432,"Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.","2020-05-08"
"1228","GCST004302","28425483","Qiu F 2017","87.75","East Asian",8192,"A genome-wide association study identifies six novel risk loci for primary biliary cholangitis.","2020-05-08"
"1229","GCST004303","28449029","Munz M 2017","24.33","European|Other",8474,"A genome-wide association study identifies nucleotide variants at SIGLEC5 and DEFA1A3 as risk loci for periodontitis.","2020-05-08"
"1230","GCST004305","28406950","Kim J 2017","0.25","East Asian",7935,"Interaction of iron status with single nucleotide polymorphisms on incidence of type 2 diabetes.","2020-05-08"
"1231","GCST004343","28374850","Ellinghaus E 2017","3.5","European",10034,"Genome-wide association analysis for chronic venous disease identifies EFEMP1 and KCNH8 as susceptibility loci.","2020-05-08"
"1232","GCST004346","28537254","Tsoi LC 2017","106.05","European",305801,"Large scale meta-analysis characterizes genetic architecture for common psoriasis associated variants.","2020-05-10"
"1233","GCST004347","28346443","Melin BS 2017","324.94","European",30659,"Genome-wide association study of glioma subtypes identifies specific differences in genetic susceptibility to glioblastoma and non-glioblastoma tumors.","2020-05-08"
"1234","GCST004348","28346443","Melin BS 2017","324.94","European",24009,"Genome-wide association study of glioma subtypes identifies specific differences in genetic susceptibility to glioblastoma and non-glioblastoma tumors.","2020-05-08"
"1235","GCST004349","28346443","Melin BS 2017","324.94","European",24381,"Genome-wide association study of glioma subtypes identifies specific differences in genetic susceptibility to glioblastoma and non-glioblastoma tumors.","2020-05-08"
"1236","GCST004352","28460022","Lee JY 2017","2.5","East Asian",6384,"Korean atrial fibrillation network genome-wide association study for early-onset atrial fibrillation identifies novel susceptibility loci.","2020-05-08"
"1237","GCST004367","28494655","Duncan L 2017","626.186","European",14477,"Significant Locus and Metabolic Genetic Correlations Revealed in Genome-Wide Association Study of Anorexia Nervosa.","2020-05-09"
"1238","GCST004373","28416822","Low SK 2017","38.2","East Asian|European",294688,"Identification of six new genetic loci associated with atrial fibrillation in the Japanese population.","2020-05-09"
"1239","GCST004381","21829393","Plagnol V 2011","1.5","European",6395,"Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.","2020-05-08"
"1240","GCST004382","21829393","Plagnol V 2011","1.5","European",4328,"Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.","2020-05-08"
"1241","GCST004383","21829393","Plagnol V 2011","1.5","European",8300,"Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.","2020-05-10"
"1242","GCST004390","28461288","Yan Q 2017","0.25","Hispanic or Latin American",5037,"A meta-analysis of genome-wide association studies of asthma in Puerto Ricans.","2020-05-08"
"1243","GCST004404","28485404","Jorgenson E 2017","7.25","European|Hispanic or Latin American|East Asian|African American or Afro-Caribbean",86627,"Genetic contributors to variation in alcohol consumption vary by race/ethnicity in a large multi-ethnic genome-wide association study.","2020-05-09"
"1244","GCST004407","28447399","Jia P 2017","10.75","African American or Afro-Caribbean|European|Hispanic or Latin American",1049,"Genome-wide association study of HIV-associated neurocognitive disorder (HAND): A CHARTER group study.","2020-05-08"
"1245","GCST004408","28447399","Jia P 2017","10.75","European|Hispanic or Latin American|African American or Afro-Caribbean",659,"Genome-wide association study of HIV-associated neurocognitive disorder (HAND): A CHARTER group study.","2020-05-08"
"1246","GCST004409","28447399","Jia P 2017","10.75","African American or Afro-Caribbean|European|Hispanic or Latin American",1048,"Genome-wide association study of HIV-associated neurocognitive disorder (HAND): A CHARTER group study.","2020-05-08"
"1247","GCST004410","28447399","Jia P 2017","10.75","European|Hispanic or Latin American|African American or Afro-Caribbean",926,"Genome-wide association study of HIV-associated neurocognitive disorder (HAND): A CHARTER group study.","2020-05-09"
"1248","GCST004411","28447399","Jia P 2017","10.75","European|Hispanic or Latin American|African American or Afro-Caribbean",1018,"Genome-wide association study of HIV-associated neurocognitive disorder (HAND): A CHARTER group study.","2020-05-10"
"1249","GCST004412","26853712","Zhang YB 2016","14.804","East Asian",5063,"Genome-wide association study identifies multiple susceptibility loci for craniofacial microsomia.","2020-05-08"
"1250","GCST004413","27132594","Mbarek H 2016","762.55","European",315878,"Identification of Common Genetic Variants Influencing Spontaneous Dizygotic Twinning and Female Fertility.","2020-05-08"
"1251","GCST004414","28346442","Phelan CM 2017","248.78","European",19036,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-08"
"1252","GCST004415","28346442","Phelan CM 2017","248.78","European",63347,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-08"
"1253","GCST004416","28346442","Phelan CM 2017","248.78","European",12412,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-08"
"1254","GCST004417","28346442","Phelan CM 2017","248.78","European",42307,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-08"
"1255","GCST004418","28346442","Phelan CM 2017","248.78","European",43751,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-08"
"1256","GCST004419","28346442","Phelan CM 2017","248.78","European",43507,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-08"
"1257","GCST004461","28346442","Phelan CM 2017","248.78","European",41953,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-08"
"1258","GCST004462","28346442","Phelan CM 2017","248.78","European",85426,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-10"
"1259","GCST004478","28346442","Phelan CM 2017","248.78","European",54990,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-10"
"1260","GCST004479","28346442","Phelan CM 2017","248.78","European",42895,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-08"
"1261","GCST004480","28346442","Phelan CM 2017","248.78","European",53978,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-10"
"1262","GCST004481","28346442","Phelan CM 2017","248.78","European",43907,"Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.","2020-05-10"
"1263","GCST004482","27082954","Ward-Caviness CK 2016","2","European|African American or Afro-Caribbean",2177,"Genetic Variants in the Bone Morphogenic Protein Gene Family Modify the Association between Residential Exposure to Traffic and Peripheral Arterial Disease.","2020-05-10"
"1264","GCST004483","27363682","Mitchell JS 2016","41.05","European",249054,"Genome-wide association study identifies multiple susceptibility loci for multiple myeloma.","2020-05-10"
"1265","GCST004485","28470677","Tang H 2017","0.75","European",1688,"Genetic polymorphisms associated with pancreatic cancer survival: a genome-wide association study.","2020-05-08"
"1266","GCST004510","28545128","McDaniel LD 2017","11.72","European|African American or Afro-Caribbean",11862,"Common variants upstream of MLF1 at 3q25 and within CPZ at 4p16 associated with neuroblastoma.","2020-05-08"
"1267","GCST004512","28520984","Saccone NL 2017","8.08","Hispanic or Latin American",5085,"Genome-wide association study of heavy smoking and daily/nondaily smoking in the Hispanic Community Health Study / Study of Latinos (HCHS/SOL).","2020-05-10"
"1268","GCST004520","28540026","Anney RJL 2017","28.23","European|Other",173773,"Meta-analysis of GWAS of over 16,000 individuals with autism spectrum disorder highlights a novel locus at 10q24.32 and a significant overlap with schizophrenia.","2020-05-10"
"1269","GCST004521","28540026","Anney RJL 2017","28.23","European",17968,"Meta-analysis of GWAS of over 16,000 individuals with autism spectrum disorder highlights a novel locus at 10q24.32 and a significant overlap with schizophrenia.","2020-05-10"
"1270","GCST004549","28537267","Sapkota Y 2017","52.4","European|East Asian",208903,"Meta-analysis identifies five novel loci associated with endometriosis highlighting key genes involved in hormone metabolism.","2020-05-10"
"1271","GCST004635","28604728","Litchfield K 2017","137.814","European",30401,"Identification of 19 new risk loci and potential regulatory mechanisms influencing susceptibility to testicular germ cell tumor.","2020-05-08"
"1272","GCST004638","28656603","Na R 2017","2.25","European",5079,"A genetic variant near GATA3 implicated in inherited susceptibility and etiology of benign prostatic hyperplasia (BPH) and lower urinary tract symptoms (LUTS).","2020-05-08"
"1273","GCST004641","28632202","Witt SH 2017","29.75","European",2543,"Genome-wide association study of borderline personality disorder reveals genetic overlap with bipolar disorder, major depression and schizophrenia.","2020-05-08"
"1274","GCST004661","28781888","Mobuchon L 2017","3.25","European",1120,"A GWAS in uveal melanoma identifies risk polymorphisms in the CLPTM1L locus.","2020-05-08"
"1275","GCST004690","28628665","Sobota RS 2017","2","",469,"A chromosome 5q31.1 locus associates with tuberculin skin test reactivity in HIV-positive individuals from tuberculosis hyper-endemic regions in east Africa.","2020-05-08"
"1276","GCST004692","27455348","van Rheenen W 2016","350.468","European",41398,"Genome-wide association analyses identify new risk variants and the genetic architecture of amyotrophic lateral sclerosis.","2020-05-09"
"1277","GCST004710","28598434","Scelo G 2017","27.83","European",40673,"Genome-wide association study identifies multiple risk loci for renal cell carcinoma.","2020-05-09"
"1278","GCST004712","24166409","Gelernter J 2014","12","African American or Afro-Caribbean|European",14779,"Genome-wide association study of alcohol dependence:significant findings in African- and European-Americans including novel risk loci.","2020-05-08"
"1279","GCST004713","28604732","Wang Z 2017","142.6","European",17528,"Meta-analysis of five genome-wide association studies identifies multiple new loci associated with testicular germ cell tumor.","2020-05-08"
"1280","GCST004724","28672053","Meng W 2017","0.5","European",3400,"A genome-wide association study suggests that MAPK14 is associated with diabetic foot ulcers.","2020-05-08"
"1281","GCST004736","28662289","Lin YY 2017","1.75","East Asian",278,"Genome-wide association analysis identifies a GLUL haplotype for familial hepatitis B virus-related hepatocellular carcinoma.","2020-05-08"
"1282","GCST004737","28703135","Ruamviboonsuk P 2017","0.25","South East Asian",2296,"Genome-wide association study of neovascular age-related macular degeneration in the Thai population.","2020-05-08"
"1283","GCST004744","28604730","McKay JD 2017","167.276","European",66756,"Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","2020-05-08"
"1284","GCST004745","28698626","López-Mejías R 2017","2","European",1291,"A genome-wide association study suggests the HLA Class II region as the major susceptibility locus for IgA vasculitis.","2020-05-08"
"1285","GCST004746","28604730","McKay JD 2017","167.276","European",24108,"Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","2020-05-10"
"1286","GCST004747","28604730","McKay JD 2017","167.276","European",9859,"Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","2020-05-08"
"1287","GCST004748","28604730","McKay JD 2017","167.276","European",85716,"Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","2020-05-10"
"1288","GCST004749","28604730","McKay JD 2017","167.276","European",40187,"Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","2020-05-10"
"1289","GCST004750","28604730","McKay JD 2017","167.276","European",63053,"Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","2020-05-10"
"1290","GCST004752","28739605","Zhou Y 2017","11.9","",449,"Genetic variation in the gene LRP2 increases relapse risk in multiple sclerosis.","2020-05-08"
"1291","GCST004753","28703219","Son HY 2017","20.1","East Asian",9881,"Genome-wide association and expression quantitative trait loci studies identify multiple susceptibility loci for thyroid cancer.","2020-05-08"
"1292","GCST004756","28714907","Treutlein J 2017","0.25","European",3265,"Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis.","2020-05-10"
"1293","GCST004757","28714907","Treutlein J 2017","0.25","European",6525,"Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis.","2020-05-10"
"1294","GCST004758","28254843","Qi Q 2017","6.8","Hispanic or Latin American",7746,"Genetics of Type 2 Diabetes in U.S. Hispanic/Latino Individuals: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL).","2020-05-08"
"1295","GCST004773","28566273","Scott RA 2017","15.6","European",212747,"An Expanded Genome-Wide Association Study of Type 2 Diabetes in Europeans.","2020-05-08"
"1296","GCST004774","28566273","Scott RA 2017","15.6","European",238209,"An Expanded Genome-Wide Association Study of Type 2 Diabetes in Europeans.","2020-05-10"
"1297","GCST004779","28836065","Hellwege JN 2017","12.83","African American or Afro-Caribbean",8763,"A multi-stage genome-wide association study of uterine fibroids in African Americans.","2020-05-08"
"1298","GCST004782","28828242","Dajani R 2017","1.5","Greater Middle Eastern (Middle Eastern, North African or Persian)|European",5193,"Genome-wide association study identifies novel type II diabetes risk loci in Jordan subpopulations.","2020-05-08"
"1299","GCST004785","27723757","Jin Y 2016","226.916","European",44266,"Genome-wide association studies of autoimmune vitiligo identify 23 new risk loci and highlight key pathways and regulatory variants.","2020-05-08"
"1300","GCST004787","28714975","Nelson CP 2017","45.65","European",340599,"Association analyses based on false discovery rate implicate new loci for coronary artery disease.","2020-05-08"
"1301","GCST004798","28703219","Son HY 2017","20.1","East Asian",9969,"Genome-wide association and expression quantitative trait loci studies identify multiple susceptibility loci for thyroid cancer.","2020-05-10"
"1302","GCST004804","28679651","Meziane I 2017","2","",404,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"1303","GCST004805","28679651","Meziane I 2017","2","",835,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"1304","GCST004806","28679651","Meziane I 2017","2","",426,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"1305","GCST004807","28679651","Meziane I 2017","2","",194,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"1306","GCST004808","28679651","Meziane I 2017","2","",447,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"1307","GCST004809","28679651","Meziane I 2017","2","",345,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"1308","GCST004811","28679651","Meziane I 2017","2","",535,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"1309","GCST004812","28679651","Meziane I 2017","2","",844,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"1310","GCST004813","28775256","Kawashima-Kumagai K 2017","1","East Asian|Asian unspecified",1394,"A genome-wide association study identified a novel genetic loci STON1-GTF2A1L/LHCGR/FSHR for bilaterality of neovascular age-related macular degeneration.","2020-05-08"
"1311","GCST004825","28776340","Son CN 2017","1","East Asian",3647,"ABCG2 Polymorphism Is Associated with Hyperuricemia in a Study of a Community-Based Korean Cohort.","2020-05-08"
"1312","GCST004833","28806749","Leo PJ 2017","13.97","European",9347,"Defining the genetic susceptibility to cervical neoplasia-A genome-wide association study.","2020-05-08"
"1313","GCST004845","28598419","Hong X 2017","0.25","African American or Afro-Caribbean",1496,"Genome-wide approach identifies a novel gene-maternal pre-pregnancy BMI interaction on preterm birth.","2020-05-08"
"1314","GCST004858","28886342","Ng M 2017","14.85","European",20849,"A Genome-wide Association Study of Dupuytren Disease Reveals 17 Additional Variants Implicated in Fibrosis.","2020-05-08"
"1315","GCST004859","28886140","Kwon YC 2017","1","East Asian",7110,"Male-specific association of the FCGR2A His167Arg polymorphism with Kawasaki disease.","2020-05-08"
"1316","GCST004866","25608926","Betz RC 2015","6","European",10585,"Genome-wide meta-analysis in alopecia areata resolves HLA associations and reveals two new susceptibility loci.","2020-05-08"
"1317","GCST004867","19838195","Gateva V 2009","18","European",15461,"A large-scale replication study identifies TNIP1, PRDM1, JAZF1, UHRF1BP1 and IL10 as risk loci for systemic lupus erythematosus.","2020-05-08"
"1318","GCST004873","28881265","Sobalska-Kwapis M 2017","0.25","European",3105,"New variants near RHOJ and C2, HLA-DRA region and susceptibility to endometriosis in the Polish population-The genome-wide association study.","2020-05-08"
"1319","GCST004878","24097067","Lessard CJ 2013","30.85","European",8392,"Variants at multiple loci implicated in both innate and adaptive immune responses are associated with Sjögren's syndrome.","2020-05-08"
"1320","GCST004879","24097067","Lessard CJ 2013","30.85","European",6599,"Variants at multiple loci implicated in both innate and adaptive immune responses are associated with Sjögren's syndrome.","2020-05-08"
"1321","GCST004881","28916551","Liu Y 2017","0.5","African American or Afro-Caribbean",1217,"Genetic Determinants of Radiographic Knee Osteoarthritis in African Americans.","2020-05-08"
"1322","GCST004883","28924153","Chang X 2017","70.546","European",7168,"Common variants in MMP20 at 11q22.2 predispose to 11q deletion and neuroblastoma risk.","2020-05-08"
"1323","GCST004884","28924153","Chang X 2017","70.546","European",5178,"Common variants in MMP20 at 11q22.2 predispose to 11q deletion and neuroblastoma risk.","2020-05-10"
"1324","GCST004885","28924153","Chang X 2017","70.546","European",5369,"Common variants in MMP20 at 11q22.2 predispose to 11q deletion and neuroblastoma risk.","2020-05-10"
"1325","GCST004894","28869590","Zhao W 2017","344.26","South Asian|European|East Asian",265678,"Identification of new susceptibility loci for type 2 diabetes and shared etiological pathways with coronary heart disease.","2020-05-08"
"1326","GCST004895","28960316","Tanskanen T 2017","3","European",39786,"Genome-wide association study and meta-analysis in Northern European populations replicate multiple colorectal cancer risk loci.","2020-05-08"
"1327","GCST004898","28877031","Zhang G 2017","904.54","European",52166,"Genetic Associations with Gestational Duration and Spontaneous Preterm Birth.","2020-05-08"
"1328","GCST004900","28952330","Chen SP 2016","0.25","East Asian",3782,"Genome-wide association study identifies novel susceptibility loci for migraine in Han Chinese resided in Taiwan.","2020-05-08"
"1329","GCST004902","28892059","Chang D 2017","180.024","European",429225,"A meta-analysis of genome-wide association studies identifies 17 new Parkinson's disease risk loci.","2020-05-08"
"1330","GCST004946","28991256","Li Z 2017","32.45","East Asian|European",118495,"Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.","2020-05-10"
"1331","GCST004947","29088834","Kimura M 2017","0.5","East Asian",3037,"A genome-wide association analysis identifies PDE1A|DNAJC10 locus on chromosome 2 associated with idiopathic pulmonary arterial hypertension in a Japanese population.","2020-05-08"
"1332","GCST004948","19330027","Ahmed S 2009","6","European|East Asian",85741,"Newly discovered breast cancer susceptibility loci on 3p24 and 17q23.2.","2020-05-08"
"1333","GCST004949","19330027","Ahmed S 2009","6","European",24414,"Newly discovered breast cancer susceptibility loci on 3p24 and 17q23.2.","2020-05-10"
"1334","GCST004950","25751625","Michailidou K 2015","102.75","European",123509,"Genome-wide association analysis of more than 120,000 individuals identifies 15 new susceptibility loci for breast cancer.","2020-05-08"
"1335","GCST004952","28957384","Kim SK 2017","5.35","European|East Asian|Hispanic or Latin American",99342,"Two genetic loci associated with ankle injury.","2020-05-08"
"1336","GCST004957","28753643","Yeo A 2017","0.5","European|Asian unspecified|African American or Afro-Caribbean|Greater Middle Eastern (Middle Eastern, North African or Persian)|Oceanian|Native American|Other admixed ancestry",1318,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.","2020-05-08"
"1337","GCST004961","28753643","Yeo A 2017","0.5","Asian unspecified|European|African American or Afro-Caribbean|Greater Middle Eastern (Middle Eastern, North African or Persian)|Oceanian|Native American|Other admixed ancestry",1440,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.","2020-05-08"
"1338","GCST004962","28753643","Yeo A 2017","0.5","European",481,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.","2020-05-08"
"1339","GCST004964","28753643","Yeo A 2017","0.5","European|Asian unspecified|African American or Afro-Caribbean|Greater Middle Eastern (Middle Eastern, North African or Persian)|Oceanian|Native American|Other admixed ancestry",740,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.","2020-05-08"
"1340","GCST004967","28753643","Yeo A 2017","0.5","European",212,"Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.","2020-05-09"
"1341","GCST004977","29051540","Marenholz I 2017","134.1","European",5601,"Genome-wide association study identifies the SERPINB gene cluster as a susceptibility locus for food allergy.","2020-05-09"
"1342","GCST004979","29051540","Marenholz I 2017","134.1","European",6444,"Genome-wide association study identifies the SERPINB gene cluster as a susceptibility locus for food allergy.","2020-05-08"
"1343","GCST004980","29051540","Marenholz I 2017","134.1","European",5565,"Genome-wide association study identifies the SERPINB gene cluster as a susceptibility locus for food allergy.","2020-05-08"
"1344","GCST004981","29016859","Ogura Y 2017","7.508","East Asian",2543,"A functional variant in MIR4300HG, the host gene of microRNA MIR4300 is associated with progression of adolescent idiopathic scoliosis.","2020-05-08"
"1345","GCST004982","29117387","Conti DV 2017","0.25","African American or Afro-Caribbean|Sub-Saharan African|African unspecified",21012,"Two Novel Susceptibility Loci for Prostate Cancer in Men of African Ancestry.","2020-05-08"
"1346","GCST004983","29030599","Joshi PK 2017","613.956","African American or Afro-Caribbean|European",606059,"Genome-wide meta-analysis associates HLA-DQA1/DRB1 and LPA and lifestyle factors with human longevity.","2020-05-08"
"1347","GCST004986","29066090","Allen RJ 2017","135.88","European",11321,"Genetic variants associated with susceptibility to idiopathic pulmonary fibrosis in people of European ancestry: a genome-wide association study.","2020-05-08"
"1348","GCST004988","29059683","Michailidou K 2017","673.784","European|East Asian",256123,"Association analysis identifies 65 new breast cancer risk loci.","2020-05-10"
"1349","GCST004999","28928442","Tian C 2017","151.03","European",123751,"Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.","2020-05-08"
"1350","GCST005000","28928442","Tian C 2017","151.03","European",88440,"Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.","2020-05-09"
"1351","GCST005001","28928442","Tian C 2017","151.03","European",134863,"Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.","2020-05-08"
"1352","GCST005002","28928442","Tian C 2017","151.03","European",85903,"Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.","2020-05-08"
"1353","GCST005003","28928442","Tian C 2017","151.03","European",85380,"Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.","2020-05-10"
"1354","GCST005004","28928442","Tian C 2017","151.03","European",219605,"Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.","2020-05-09"
"1355","GCST005006","28928442","Tian C 2017","151.03","European",88716,"Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.","2020-05-09"
