studyID	pubMedID	trait	reportedTrait	citation	altmetricScore	ethnicity	initialSampleSize	replicationSampleSize	title	lastUpdated
GCST005309	29385134	Hepatocellular Carcinoma	Nonalcoholic Steatohepatitis-Derived Hepatocellular Carcinoma	Kawaguchi et al. 2018	0.5	East Asian	7730	NA	Risk estimation model for nonalcoholic fatty liver disease in the Japanese using multiple genetic markers.	2021-06-24
GCST001041	21499248	Hepatocellular Carcinoma	Hepatocellular Carcinoma	Kumar et al. 2011	3	East Asian	3611	3269	Genome-wide association study identifies a susceptibility locus for HCV-induced hepatocellular carcinoma.	2021-06-24
GCST001603	22807686	Hepatocellular Carcinoma	Hepatocellular Carcinoma	Li et al. 2012	NA	East Asian	3003	9156	GWAS identifies novel susceptibility loci on 6p21.32 and 21q21.3 for hepatocellular carcinoma in chronic hepatitis B virus carriers.	2021-06-24
GCST005570	29246937	Hepatocellular Carcinoma	Hepatitis B Virus-Related Hepatocellular Carcinoma	Li et al. 2018	2.75	East Asian	896	6340	Genome-Wide Association Study Identifies a New Locus at 7q21.13 Associated with Hepatitis B Virus-Related Hepatocellular Carcinoma.	2021-06-24
GCST004736	28662289	Hepatocellular Carcinoma	Familial Hepatitis B Virus-Related Hepatocellular Carcinoma	Lin et al. 2017	1.75	East Asian	278	NA	Genome-wide association analysis identifies a GLUL haplotype for familial hepatitis B virus-related hepatocellular carcinoma.	2021-06-24
GCST004160	28163062	Hepatocellular Carcinoma	Hepatocellular Carcinoma In Post Hepatitis C Eradication By Interferon Therapy	Matsuura et al. 2017	24.25	East Asian	461	345	Genome-Wide Association Study Identifies TLL1 Variant Associated With Development of Hepatocellular Carcinoma After Eradication of Hepatitis C Virus Infection.	2021-06-24
GCST000752	20676096	Hepatocellular Carcinoma	Hepatocellular Carcinoma	Zhang et al. 2010	15.35	East Asian	707	3869	Genome-wide association study identifies 1p36.22 as a new susceptibility locus for hepatocellular carcinoma in chronic hepatitis B virus carriers.	2021-06-24
GCST007139	30298529	Herpes Zoster	Shingles	Stanaway et al. 2018	4.85	European|African American or Afro-Caribbean|Asian unspecified	45237	NA	The eMERGE genotype set of 83,717 subjects imputed to ~40 million variants genome wide and association with the herpes zoster medical record phenotype.	2021-06-24
GCST007840	31006500	High Density Lipoprotein Cholesterol Measurement	Low Hdl-Cholesterol Levels	Liu et al. 2019	NA	East Asian	8839	NA	Protein and fat intake interacts with the haplotype of PTPN11_rs11066325, RPH3A_rs886477, and OAS3_rs2072134 to modulate serum HDL concentrations in middle-aged people.	2021-06-24
GCST009656	31910446	High Density Lipoprotein Cholesterol Measurement	Low Hdl-Cholesterol Levels	Oh et al. 2020	NA	East Asian	2253	NA	Genome-wide association study of metabolic syndrome in Korean populations.	2021-06-25
GCST009661	31910446	High Density Lipoprotein Cholesterol Measurement	Low Hdl-Cholesterol Levels	Oh et al. 2020	NA	East Asian	7423	NA	Genome-wide association study of metabolic syndrome in Korean populations.	2021-06-28
GCST003391	26879886	High Density Lipoprotein Cholesterol Measurement	Low High Density Lipoprotein Cholesterol Levels	Wakil et al. 2016	7	Greater Middle Eastern (Middle Eastern North African or Persian)	4082	1413	A common variant association study reveals novel susceptibility loci for low HDL-cholesterol levels in ethnic Arabs.	2021-06-24
GCST004199	28319091	Hip Osteoarthritis Symptom Severity Measurement	Osteoarthritis (With Total Hip Replacement)	Styrkarsdottir et al. 2017	13.25	European	212171	NA	Whole-genome sequencing identifies rare genotypes in COMP and CHADL associated with high risk of hip osteoarthritis.	2021-06-24
GCST002430	24770881	Hippocampal Sclerosis Of Aging	Hippocampal Sclerosis Of Aging	Nelson et al. 2014	1.25		2239	427	ABCC9 gene polymorphism is associated with hippocampal sclerosis of aging pathology.	2021-06-24
GCST005289	29379196	Hirschsprung Disease	Hirschsprung Disease	Fadista et al. 2018	2	European	4887	1319	Genome-wide association study of Hirschsprung disease detects a novel low-frequency variant at the RET locus.	2021-06-24
GCST000334	19196962	Hirschsprung Disease	Hirschsprung Disease	Garcia-Barcelo et al. 2009	3	East Asian	527	700	Genome-wide association study identifies NRG1 as a susceptibility locus for Hirschsprung's disease.	2021-06-24
GCST003764	27702942	Hirschsprung Disease	Hirschsprung Disease	Tang et al. 2016	NA	European|East Asian	1698	NA	Trans-ethnic meta-analysis of genome-wide association studies for Hirschsprung disease.	2021-06-24
GCST006095	29895819	Hirsutism	Excessive Hairiness	Endo et al. 2018	14	East Asian	11244	NA	Genome-wide association study in Japanese females identifies fifteen novel skin-related trait associations.	2021-06-24
GCST000596	20064070	Hiv-1 Infection	Hiv-1 Progression	Herbeck et al. 2010	NA	European	156	590	Multistage genomewide association study identifies a locus at 1q41 associated with rate of HIV-1 disease progression to clinical AIDS.	2021-06-24
GCST002818	25786224	Hiv-1 Infection	Hiv-1 Susceptibility	Johnson et al. 2015	NA	African American or Afro-Caribbean|European	3136	2533	Novel genetic locus implicated for HIV-1 acquisition with putative regulatory links to HIV replication and infectivity: a genome-wide association study.	2021-06-28
GCST002101	23935489	Hiv-1 Infection	Hiv-1 Susceptibility	McLaren et al. 2013	12.47	European	13581	NA	Association study of common genetic variants and HIV-1 acquisition in 6,300 infected cases and 7,200 controls.	2021-06-24
GCST000863	21051598	Hiv-1 Infection	Hiv-1 Control	Pereyra et al. 2010	55.062	European|African American or Afro-Caribbean|Hispanic or Latin American	3622	NA	The major genetic determinants of HIV-1 control affect HLA class I peptide presentation.	2021-06-24
GCST004408	28447399	Hiv-Associated Neurocognitive Disorder	Hiv-Associated Neurocognitive Disorder (Mild Neurocognitive Disorder)	Jia et al. 2017	10.75	European|Hispanic or Latin American|African American or Afro-Caribbean	659	NA	Genome-wide association study of HIV-associated neurocognitive disorder (HAND): A CHARTER group study.	2021-06-24
GCST004409	28447399	Hiv-Associated Neurocognitive Disorder	Hiv-Associated Neurocognitive Disorder	Jia et al. 2017	10.75	African American or Afro-Caribbean|European|Hispanic or Latin American	1048	NA	Genome-wide association study of HIV-associated neurocognitive disorder (HAND): A CHARTER group study.	2021-06-24
GCST004410	28447399	Hiv-Associated Neurocognitive Disorder	Hiv-Associated Neurocognitive Disorder (Asymptomatic Neurocogntive Impairment)	Jia et al. 2017	10.75	European|Hispanic or Latin American|African American or Afro-Caribbean	926	NA	Genome-wide association study of HIV-associated neurocognitive disorder (HAND): A CHARTER group study.	2021-06-24
GCST004411	28447399	Hiv-Associated Neurocognitive Disorder	Hiv-Associated Neurocognitive Disorder (Mild Neurocognitive Disorder Or Asymptomatic Neurocognitive Impairment)	Jia et al. 2017	10.75	European|Hispanic or Latin American|African American or Afro-Caribbean	1018	NA	Genome-wide association study of HIV-associated neurocognitive disorder (HAND): A CHARTER group study.	2021-06-28
GCST002480	24920014	Hodgkins Lymphoma	Hodgkin's Lymphoma	Cozen et al. 2014	2.25	European	9693	4499	A meta-analysis of Hodgkin lymphoma reveals 19p13.3 TCF3 as a novel susceptibility locus.	2021-06-24
GCST000851	21037568	Hodgkins Lymphoma	Hodgkin's Lymphoma	Enciso-Mora et al. 2010	15.08	European	5788	5473	A genome-wide association study of Hodgkin's lymphoma identifies new susceptibility loci at 2p16.1 (REL), 8q24.21 and 10p14 (GATA3).	2021-06-24
GCST002237	24149102	Hodgkins Lymphoma	Hodgkin's Lymphoma	Frampton et al. 2013	9.5	European	7882	3877	Variation at 3p24.1 and 6q23.3 influences the risk of Hodgkin's lymphoma.	2021-06-24
GCST005209	29196614	Hodgkins Lymphoma	Hodgkin's Lymphoma	Sud et al. 2017	116.91	European	16757	5306	Genome-wide association study of classical Hodgkin lymphoma identifies key regulators of disease susceptibility.	2021-06-28
GCST007062	30194254	Hodgkins Lymphoma	Hodgkin's Lymphoma	Sud et al. 2018	8	European	27750	NA	Genome-wide association study implicates immune dysfunction in the development of Hodgkin lymphoma.	2021-06-24
GCST005930	29563502	Hyperemesis Gravidarum	Hyperemesis Gravidarum	Fejzo et al. 2018	319.572	European	17062	1648	Placenta and appetite genes GDF15 and IGFBP7 are associated with hyperemesis gravidarum.	2021-06-24
GCST006090	29895819	Hyperhidrosis	Excessive Sweating	Endo et al. 2018	14	East Asian	4538	NA	Genome-wide association study in Japanese females identifies fifteen novel skin-related trait associations.	2021-06-24
GCST008740	30098192	Hyperopia	Hyperopia	Shaaban et al. 2018	39.202	European	2061	862	Genome-Wide Association Study Identifies a Susceptibility Locus for Comitant Esotropia and Suggests a Parent-of-Origin Effect.	2021-06-28
GCST004118	28062682	Hypersensitivity Reaction Disease	Nevirapine-Induced Hypersensitivity In Hiv	Carr et al. 2017	1	Sub-Saharan African	333	122	Genome-wide association study of nevirapine hypersensitivity in a sub-Saharan African HIV-infected population.	2021-06-24
GCST001971	23646285	Hypersomnia	Hypersomnia (Hla-Dqb1*06:02 Negative)	Khor et al. 2013	NA	East Asian	687	NA	Genome-wide association study of HLA-DQB1*06:02 negative essential hypersomnia.	2021-06-24
GCST007191	30266950	Hypersomnia	Hypersomnia (Hla-Dqb1*06:02 Negative)	Miyagawa et al. 2018	1.25	East Asian	1701	716	A variant at 9q34.11 is associated with HLA-DQB1*06:02 negative essential hypersomnia.	2021-06-24
GCST000447	19609347	Hypertension	Hypertension	Adeyemo et al. 2009	NA	African American or Afro-Caribbean|African unspecified	1017	980	A genome-wide association study of hypertension and blood pressure in African Americans.	2021-06-24
GCST012136	33276381	Hypertension	Hypertension In Type 2 Diabetes	Cheng et al. 2020	0.25	East Asian	999	922	Genome-wide and candidate gene association analyses identify a 14-SNPs combination for hypertension in patients with type 2 diabetes.	2021-07-27
GCST011141	32709000	Hypertension	Hypertension	Jeong et al. 2020	NA	East Asian	17736	NA	Identifying Interactions between Dietary Sodium, Potassium, Sodium-Potassium Ratios, and FGF5 rs16998073 Variants and Their Associated Risk for Hypertension in Korean Adults.	2021-06-28
GCST000973	21347282	Hypertension	Hypertension	Lettre et al. 2011	9	African American or Afro-Caribbean	7917	2854	Genome-wide association study of coronary heart disease and its risk factors in 8,090 African Americans: the NHLBI CARe Project.	2021-06-24
GCST003613	27480026	Hypertension	Hypertension	Liu et al. 2016	2	East Asian	518	21472	Genome Wide Association Study Identifies L3MBTL4 as a Novel Susceptibility Gene for Hypertension.	2021-06-24
GCST000361	19304780	Hypertension	Hypertension	Org et al. 2009	NA	European	954	2812	Genome-wide scan identifies CDH13 as a novel susceptibility locus contributing to blood pressure determination in two European populations.	2021-06-24
GCST000849	21082022	Hypertension	Hypertension	Padmanabhan et al. 2010	15.402	European	3320	36386	Genome-wide association study of blood pressure extremes identifies variant near UMOD associated with hypertension.	2021-06-24
GCST004143	28273873	Hypertension	Hypertension	Park et al. 2017	0.5	East Asian	8839	NA	Interaction between Single Nucleotide Polymorphism and Urinary Sodium, Potassium, and Sodium-Potassium Ratio on the Risk of Hypertension in Korean Adults.	2021-06-24
GCST000041	17554300	Hypertension	Hypertension	Wellcome et al. 2007	148.5	European	4890	NA	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	2021-06-24
GCST010477	30226566	Hypertension	Hypertension	Yamada et al. 2018	1	East Asian	8080	NA	Identification of 13 novel susceptibility loci for early-onset myocardial infarction, hypertension, or chronic kidney disease.	2021-06-28
GCST011909	34067580	Hypertensive Renal Disease	Hypertensive Renal Disease	Kim et al. 2021	0.75	East Asian	2604	679	A Genome-Wide Association Study for Hypertensive Kidney Disease in Korean Men.	2021-06-25
GCST000737	20657596	Hypertriglyceridemia	Hypertriglyceridemia	Johansen et al. 2010	6.048	European	1660	NA	Excess of rare variants in genes identified by genome-wide association study of hypertriglyceridemia.	2021-06-24
GCST009657	31910446	Hypertriglyceridemia	Hypertriglyceridemia	Oh et al. 2020	NA	East Asian	2253	NA	Genome-wide association study of metabolic syndrome in Korean populations.	2021-06-25
GCST009662	31910446	Hypertriglyceridemia	Hypertriglyceridemia	Oh et al. 2020	NA	East Asian	7423	NA	Genome-wide association study of metabolic syndrome in Korean populations.	2021-06-28
GCST003743	27599772	Hypertriglyceridemia	Hypertriglyceridemia	Ram et al. 2016	NA	Greater Middle Eastern (Middle Eastern North African or Persian)	4086	1415	A common variant association study in ethnic Saudi Arabs reveals novel susceptibility loci for hypertriglyceridemia.	2021-06-24
GCST011205	33495596	Hypertrophic Cardiomyopathy	Hypertrophic Cardiomyopathy (Mtag)	Tadros et al. 2021	65.78	European	8361	NA	Shared genetic pathways contribute to risk of hypertrophic and dilated cardiomyopathies with opposite directions of effect.	2021-06-28
GCST011211	33495596	Hypertrophic Cardiomyopathy	Hypertrophic Cardiomyopathy	Tadros et al. 2021	65.78	European	8361	50180	Shared genetic pathways contribute to risk of hypertrophic and dilated cardiomyopathies with opposite directions of effect.	2021-06-28
GCST005801	29453348	Hyperuricemia	Gout Vs. Hyperuricemia	Chen et al. 2018	0.25	East Asian	1494	NA	ABCG2 contributes to the development of gout and hyperuricemia in a genome-wide association study.	2021-06-24
GCST005802	29453348	Hyperuricemia	Hyperuricemia	Chen et al. 2018	0.25	East Asian	2818	NA	ABCG2 contributes to the development of gout and hyperuricemia in a genome-wide association study.	2021-06-24
GCST008460	31289104	Hyperuricemia	Gout Vs. Hyperuricemia	Kawamura et al. 2019	20.25	East Asian	1948	4061	Genome-wide association study revealed novel loci which aggravate asymptomatic hyperuricaemia into gout.	2021-06-24
GCST010285	32276964	Hypopharynx Cancer	Hypopharyngeal Or Laryngeal Cancer	Shete et al. 2020	1	European	4887	3527	A genome-wide association study identifies two novel susceptible regions for squamous cell carcinoma of the head and neck.	2021-06-25
GCST009672	31856834	Hypospadias	Hypospadias (Moderate To Severe)	Chen et al. 2019	0.25	East Asian	1130	828	Genome-wide association study in Chinese cohort identifies one novel hypospadias risk associated locus at 12q13.13.	2021-06-25
GCST002563	25108383	Hypospadias	Hypospadias	Geller et al. 2014	12	European	6492	3784	Genome-wide association analyses identify variants in developmental genes associated with hypospadias.	2021-06-24
GCST010762	31362389	Hypotension	Hypotension And Cognitive Impairment	Chen et al. 2019	0.25	East Asian	1855	NA	LRRTM4 and PCSK5 Genetic Polymorphisms as Markers for Cognitive Impairment in A Hypotensive Aging Population: A Genome-Wide Association Study in Taiwan.	2021-06-25
GCST001474	22493691	Hypothyroidism	Hypothyroidism	Eriksson et al. 2012	45.742	European	39282	NA	Novel associations for hypothyroidism include known autoimmune risk loci.	2021-06-24
GCST005588	29495422	Idiopathic Dilated Cardiomyopathy	Idiopathic Dilated Cardiomyopathy	Xu et al. 2018	71.83	African American or Afro-Caribbean	1800	NA	A Genome-Wide Association Study of Idiopathic Dilated Cardiomyopathy in African Americans.	2021-06-24
GCST008913	31135556	Idiopathic Osteonecrosis Of The Femoral Head	Idiopathic Osteonecrosis Of The Femoral Head	Wyles et al. 2019	6.2	African American or Afro-Caribbean|Asian unspecified|European	4227	502	CORR® ORS Richard A. Brand Award: Disruption in Peroxisome Proliferator-Activated Receptor-γ (PPARG) Increases Osteonecrosis Risk Through Genetic Variance and Pharmacologic Modulation.	2021-06-24
GCST011155	32701715	Idiopathic Osteonecrosis Of The Femoral Head	Nontraumatic Osteonecrosis Of The Femoral Head	Zhang et al. 2020	3.85	European	56929	NA	PPARGC1B Is Associated with Nontraumatic Osteonecrosis of the Femoral Head: A Genomewide Association Study on a Chart-Reviewed Cohort.	2021-06-25
GCST004986	29066090	Idiopathic Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis	Allen et al. 2017	131.33	European	3968	7353	Genetic variants associated with susceptibility to idiopathic pulmonary fibrosis in people of European ancestry: a genome-wide association study.	2021-06-24
GCST009758	31710517	Idiopathic Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis	Allen et al. 2019	105.15	European	11259	13330	Genome-Wide Association Study of Susceptibility to Idiopathic Pulmonary Fibrosis.	2021-06-25
GCST000238	18835860	Idiopathic Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis	Mushiroda et al. 2008	9	East Asian	1093	618	A genome-wide association study identifies an association of a common variant in TERT with susceptibility to idiopathic pulmonary fibrosis.	2021-06-24
GCST001974	24429156	Idiopathic Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis	Noth et al. 2013	27.422	European	1084	2257	Genetic variants associated with idiopathic pulmonary fibrosis susceptibility and mortality: a genome-wide association study.	2021-06-24
GCST002655	25305756	Iga Glomerulonephritis	Iga Nephropathy	Kiryluk et al. 2014	49.402	East Asian|European	6699	13913	Discovery of new risk loci for IgA nephropathy implicates genes involved in immunity against intestinal pathogens.	2021-06-28
GCST002943	26028593	Iga Glomerulonephritis	Iga Nephropathy	Li et al. 2015	0.5	East Asian	12095	15898	Identification of new susceptibility loci for IgA nephropathy in Han Chinese.	2021-06-24
GCST011781	32912934	Iga Glomerulonephritis	Iga Nephropathy	Li et al. 2020	8	East Asian|European	14191	18226	Genome-Wide Meta-Analysis Identifies Three Novel Susceptibility Loci and Reveals Ethnic Heterogeneity of Genetic Susceptibility for IgA Nephropathy.	2021-06-25
GCST001364	22197929	Iga Glomerulonephritis	Iga Nephropathy	Yu et al. 2011	7	East Asian	5704	6167	A genome-wide association study in Han Chinese identifies multiple susceptibility loci for IgA nephropathy.	2021-06-24
GCST004804	28679651	Igg Isotype Profile Measurement	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Ig Light Chain Only Lambda Based Profile)	Meziane et al. 2017	1.75		404	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-24
GCST004808	28679651	Igg Isotype Profile Measurement	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Igg Profile)	Meziane et al. 2017	1.75		447	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-24
GCST004809	28679651	Igg Isotype Profile Measurement	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Ig Lambda Profile)	Meziane et al. 2017	1.75		345	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-28
GCST004811	28679651	Igg Isotype Profile Measurement	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Ig Light Chain Only Lambda/Kappa Based Profile)	Meziane et al. 2017	1.75		535	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-24
GCST002729	25557950	Ileocolitis	Crohn's Disease-Related Phenotypes	Alonso et al. 2014	8.65	European	1090	1296	Identification of risk loci for Crohn's disease phenotypes using a genome-wide association study.	2021-06-24
GCST001611	23055271	Immune System Disease	Myasthenia Gravis	Gregersen et al. 2012	2.75	European	5905	3664	Risk for myasthenia gravis maps to a (151) Pro→Ala change in TNIP1 and to human leukocyte antigen-B*08.	2021-06-24
GCST012118	33409738	Immune System Toxicity	Response To Immune Checkpoint Inhibitors In Melanoma (Immune-Related Adverse Events)	Abdel-Wahab et al. 2021	1.75	European|African unspecified	89	NA	Genetic determinants of immune-related adverse events in patients with melanoma receiving immune checkpoint inhibitors.	2021-07-27
GCST006705	30281099	Infantile Hypertrophic Pyloric Stenosis	Infantile Hypertrophic Pyloric Stenosis	Fadista et al. 2018	3.1	European|Hispanic or Latin American	5833	4935	Genome-wide meta-analysis identifies BARX1 and EML4-MTA3 as new loci associated with infantile hypertrophic pyloric stenosis.	2021-06-25
GCST001399	22306654	Infantile Hypertrophic Pyloric Stenosis	Infantile Hypertrophic Pyloric Stenosis	Feenstra et al. 2012	5.5	European	3402	1672	Common variants near MBNL1 and NKX2-5 are associated with infantile hypertrophic pyloric stenosis.	2021-06-24
GCST002145	23989729	Infantile Hypertrophic Pyloric Stenosis	Infantile Hypertrophic Pyloric Stenosis	Feenstra et al. 2013	20.25	Other|European	3372	3981	Plasma lipids, genetic variants near APOA1, and the risk of infantile hypertrophic pyloric stenosis.	2021-06-24
GCST004131	28067908	Inflammatory Bowel Disease	Inflammatory Bowel Disease	de et al. 2017	145	European	59957	NA	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	2021-06-24
GCST008731	26278503	Inflammatory Bowel Disease	Inflammatory Bowel Disease	Huang et al. 2015	13.28	African American or Afro-Caribbean	3308	NA	Characterization of genetic loci that affect susceptibility to inflammatory bowel diseases in African Americans.	2021-06-24
GCST000531	19915574	Inflammatory Bowel Disease	Inflammatory Bowel Disease (Early Onset)	Imielinski et al. 2009	24	European	8571	6818	Common variants at five new loci associated with early-onset inflammatory bowel disease.	2021-06-24
GCST001725	23128233	Inflammatory Bowel Disease	Inflammatory Bowel Disease	Jostins et al. 2012	139.826	European	34366	42698	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	2021-06-28
GCST000225	18758464	Inflammatory Bowel Disease	Inflammatory Bowel Disease	Kugathasan et al. 2008	12.25	European	5261	16046	Loci on 20q13 and 21q22 are associated with pediatric-onset inflammatory bowel disease.	2021-06-24
GCST003043	26192919	Inflammatory Bowel Disease	Inflammatory Bowel Disease	Liu et al. 2015	92.27	European|Greater Middle Eastern (Middle Eastern North African or Persian)|South Asian|East Asian	34652	61834	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	2021-06-24
GCST011501	33608531	Inflammatory Bowel Disease	Inflammatory Bowel Disease	Wu et al. 2021	178.85	European	456327	NA	GWAS of peptic ulcer disease implicates Helicobacter pylori infection, other gastrointestinal disorders and depression.	2021-06-25
GCST003602	27569725	Inflammatory Bowel Disease	Inflammatory Bowel Disease	Yang et al. 2016	6.1	East Asian	5546	5480	Identification of Loci at 1q21 and 16q23 That Affect Susceptibility to Inflammatory Bowel Disease in Koreans.	2021-06-24
GCST007696	24629169	Information Processing Speed	Perceptual And Visual Search Speed (Trail Making Test A) (Age Interaction)	Ising et al. 2014	1	European	890	NA	Genetic effects on information processing speed are moderated by age--converging results from three samples.	2021-06-24
GCST003198	26686553	Inguinal Hernia	Inguinal Hernia	Jorgenson et al. 2015	296.5	European	72805	92444	A genome-wide association study identifies four novel susceptibility loci underlying inguinal hernia.	2021-06-24
GCST005566	29520036	Insomnia	Insomnia	Stein et al. 2018	335.434	European|African American or Afro-Caribbean|Hispanic or Latin American	17651	NA	Genome-wide analysis of insomnia disorder.	2021-06-24
GCST001586	22754043	Insomnia Measurement	Insomnia (Caffeine-Induced)	Byrne et al. 2012	12.768	European	3872	NA	A genome-wide association study of caffeine-related sleep disturbance: confirmation of a role for a common variant in the adenosine receptor.	2021-06-24
GCST007988	30804565	Insomnia Measurement	Insomnia	Jansen et al. 2019	421.822	European	1331010	NA	Genome-wide analysis of insomnia in 1,331,010 individuals identifies new risk loci and functional pathways.	2021-06-25
GCST003981	27992416	Insomnia Measurement	Insomnia	Lane et al. 2016	334.314	European	59128	NA	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	2021-06-28
GCST007387	30804566	Insomnia Measurement	Insomnia Symptoms (Never/Rarely Vs. Sometimes/Usually)	Lane et al. 2019	402.246	European	453379	78990	Biological and clinical insights from genetics of insomnia symptoms.	2021-06-24
GCST007388	30804566	Insomnia Measurement	Insomnia Symptoms (Never/Rarely Vs. Usually)	Lane et al. 2019	402.246	European	237627	78990	Biological and clinical insights from genetics of insomnia symptoms.	2021-06-24
GCST009642	31779001	Insulin Sensitivity Measurement	Impaired Insulin Sensitivity In Response To N-3 Pufa Supplementation	Franck et al. 2019	1.5	European	138	NA	Prevention of Potential Adverse Metabolic Effects of a Supplementation with Omega-3 Fatty Acids Using a Genetic Score Approach.	2021-06-25
GCST005626	29731509	Intelligence	Extremely High Intelligence	Zabaneh et al. 2017	123.55	European	9410	NA	A genome-wide association study for extremely high intelligence.	2021-06-24
GCST002666	25338677	Interferon Alpha Measurement	Interferon Alpha Levels In Systemic Lupus Erythematosus	Kariuki et al. 2014	15.75	European|African American or Afro-Caribbean	410	1165	Genetic analysis of the pathogenic molecular sub-phenotype interferon-alpha identifies multiple novel loci involved in systemic lupus erythematosus.	2021-06-24
GCST003181	26569114	Intermittent Staphylococcus Aureus Carrier Status	Staphylococcus Aureus Nasal Carriage (Intermittent)	Brown et al. 2015	1.5	Hispanic or Latin American	717	NA	Genome-Wide Association Study of Staphylococcus aureus Carriage in a Community-Based Sample of Mexican-Americans in Starr County, Texas.	2021-06-24
GCST001968	23583980	Interstitial Lung Disease	Interstitial Lung Disease	Fingerlin et al. 2013	31.5	European	5844	2766	Genome-wide association study identifies multiple susceptibility loci for pulmonary fibrosis.	2021-06-24
GCST009501	31339356	Interstitial Lung Disease	Interstitial Lung Abnormalities	Hobbs et al. 2019	14.35	European|African American or Afro-Caribbean|Hispanic or Latin American	11973	NA	Overlap of Genetic Risk Between Interstitial Lung Abnormalities and Idiopathic Pulmonary Fibrosis.	2021-06-28
GCST009502	31339356	Interstitial Lung Disease	Subpleural-Predominant Interstitial Lung Abnormalities	Hobbs et al. 2019	14.35	European|African American or Afro-Caribbean	10709	NA	Overlap of Genetic Risk Between Interstitial Lung Abnormalities and Idiopathic Pulmonary Fibrosis.	2021-06-25
GCST90013714	32514122	Interstitial Lung Disease	Interstitial Lung Disease	Ishigaki et al. 2020	103.4	East Asian	212453	NA	Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.	2021-06-25
GCST001136	21787189	Interstitial Lung Disease	Interstitial Lung Disease	Nyberg et al. 2011	0.5	East Asian	274	NA	Interstitial lung disease in gefitinib-treated Japanese patients with non-small-cell lung cancer: genome-wide analysis of genetic data.	2021-06-24
GCST011319	32737115	Interstitial Lung Disease	Interstitial Lung Diseases In Rheumatoid Arthritis	Shirai et al. 2020	45.33	East Asian	4908	NA	Association of the RPA3-UMAD1 locus with interstitial lung diseases complicated with rheumatoid arthritis in Japanese.	2021-06-25
GCST002389	24656865	Intracerebral Hemorrhage	Intracerebral Hemorrhage	Woo et al. 2014	22.45	European|African American or Afro-Caribbean|Hispanic or Latin American	3026	3942	Meta-analysis of genome-wide association studies identifies 1q22 as a susceptibility locus for intracerebral hemorrhage.	2021-06-24
GCST010837	29930801	Intracerebral Hemorrhage	Intracerebral Hemorrhage	Yamada et al. 2018	NA	East Asian	6179	NA	Identification of nine genes as novel susceptibility loci for early-onset ischemic stroke, intracerebral hemorrhage, or subarachnoid hemorrhage.	2021-06-25
GCST006535	29673008	Irritable Bowel Syndrome	Irritable Bowel Syndrome	Bonfiglio et al. 2018	3.95	European	11103	NA	A GWAS meta-analysis from 5 population-based cohorts implicates ion channel genes in the pathogenesis of irritable bowel syndrome.	2021-06-25
GCST002629	25248455	Irritable Bowel Syndrome	Irritable Bowel Syndrome	Ek et al. 2014	14.35	European	5466	3511	Exploring the genetics of irritable bowel syndrome: a GWA study in the general population and replication in multinational case-control cohorts.	2021-06-24
GCST002436	24797007	Irritable Bowel Syndrome	Irritable Bowel Syndrome	Holliday et al. 2014	NA	European	1570	1201	Genome-wide association study identifies two novel genomic regions in irritable bowel syndrome.	2021-06-24
GCST011502	33608531	Irritable Bowel Syndrome	Irritable Bowel Syndrome	Wu et al. 2021	178.85	European	455321	NA	GWAS of peptic ulcer disease implicates Helicobacter pylori infection, other gastrointestinal disorders and depression.	2021-06-24
GCST007088	30251476	Ischemic Cardiomyopathy	Ischemic Heart Disease In Rheumatoid Arthritis	López-Mejías et al. 2018	0.75	European	2989	NA	A genome-wide association study identifies a 3'UTR genetic variant of RARB associated with carotid intima-media thickness in rheumatoid arthritis.	2021-06-24
GCST002988	26089329	Ischemic Stroke	Ischemic Stroke	Carty et al. 2015	11.05	European|African American or Afro-Caribbean	14519	2012	Meta-Analysis of Genome-Wide Association Studies Identifies Genetic Risk Factors for Stroke in African Americans.	2021-06-24
