"studyID","pubMedID","trait","citation","studyScore","ethnicity","cohort","title","lastUpdated"
"GCST000753","20694148","metabolic syndrome","Zabaneh D 2010","3","South Asian",4794,"A genome-wide association study of the metabolic syndrome in Indian Asian men.","2020-05-07"
"GCST004239","28371326","metabolic syndrome","Zhu Y 2017","0.5","East Asian",12720,"Susceptibility loci for metabolic syndrome and metabolic components identified in Han Chinese: a multi-stage genome-wide association study.","2020-05-08"
"GCST008140","31170924","metabolic syndrome","Kong S 2019",NA,"East Asian",3968,"Identification of female-specific genetic variants for metabolic syndrome and its component traits to improve the prediction of metabolic syndrome in females.","2020-05-10"
"GCST008146","31170924","metabolic syndrome","Kong S 2019",NA,"East Asian",2857,"Identification of female-specific genetic variants for metabolic syndrome and its component traits to improve the prediction of metabolic syndrome in females.","2020-05-10"
"GCST009663","31910446","metabolic syndrome","Oh SW 2020",NA,"East Asian",7423,"Genome-wide association study of metabolic syndrome in Korean populations.","2020-05-10"
"GCST003057","26222057","metastatic colorectal cancer","Pander J 2015","2.85","European",520,"Genome Wide Association Study for Predictors of Progression Free Survival in Patients on Capecitabine, Oxaliplatin, Bevacizumab and Cetuximab in First-Line Therapy of Metastatic Colorectal Cancer.","2020-05-08"
"GCST003058","26222057","metastatic colorectal cancer","Pander J 2015","2.85","European",520,"Genome Wide Association Study for Predictors of Progression Free Survival in Patients on Capecitabine, Oxaliplatin, Bevacizumab and Cetuximab in First-Line Therapy of Metastatic Colorectal Cancer.","2020-05-08"
"GCST001975","23594818","methamphetamine-induced psychosis","Ikeda M 2013","3","East Asian",234,"Evidence for shared genetic risk between methamphetamine-induced psychosis and schizophrenia.","2020-05-07"
"GCST007022","30566433","microalbuminuria","Taira M 2018","2.25","East Asian",13035,"A variant within the FTO confers susceptibility to diabetic nephropathy in Japanese patients with type 2 diabetes.","2020-05-08"
"GCST008791","31511532","microalbuminuria","Teumer A 2019","29.8","European|South Asian|East Asian|African American or Afro-Caribbean|Hispanic or Latin American",348954,"Genome-wide association meta-analyses and fine-mapping elucidate pathways influencing albuminuria.","2020-05-10"
"GCST009281","31537649","microalbuminuria","Salem RM 2019","94.422","European",14560,"Genome-Wide Association Study of Diabetic Kidney Disease Highlights Biology Involved in Glomerular Basement Membrane Collagen.","2020-05-09"
"GCST000782","20802479","migraine disorder","Anttila V 2010","36.424","European",56742,"Genome-wide association study of migraine implicates a common susceptibility variant on 8q22.1.","2020-05-07"
"GCST001019","21448238","migraine disorder","Ligthart L 2011",NA,"European",19711,"Meta-analysis of genome-wide association for migraine in six population-based European cohorts.","2020-05-09"
"GCST001105","21666692","migraine disorder","Chasman DI 2011","56.5","European",40950,"Genome-wide association study reveals three susceptibility loci for common migraine in the general population.","2020-05-07"
"GCST001563","22683712","migraine disorder","Freilinger T 2012","59","European",12066,"Genome-wide association analysis identifies susceptibility loci for migraine without aura.","2020-05-09"
"GCST002079","23793025","migraine disorder","Anttila V 2013","136.056","European",19147,"Genome-wide meta-analysis identifies new susceptibility loci for migraine.","2020-05-08"
"GCST002081","23793025","migraine disorder","Anttila V 2013","136.056","European",118710,"Genome-wide meta-analysis identifies new susceptibility loci for migraine.","2020-05-08"
"GCST003720","27322543","migraine disorder","Gormley P 2016","1124.966","European",375752,"Meta-analysis of 375,000 individuals identifies 38 susceptibility loci for migraine.","2020-05-08"
"GCST007154","30266756","migraine disorder","Chang X 2018","42.95","African American or Afro-Caribbean|European",14706,"Common variants at 5q33.1 predispose to migraine in African-American children.","2020-05-09"
"GCST002080","23793025","migraine with aura","Anttila V 2013","136.056","European",79357,"Genome-wide meta-analysis identifies new susceptibility loci for migraine.","2020-05-08"
"GCST002078","23793025","migraine without aura","Anttila V 2013","136.056","European",76534,"Genome-wide meta-analysis identifies new susceptibility loci for migraine.","2020-05-08"
"GCST003721","27322543","migraine without aura","Gormley P 2016","1124.966","European",147970,"Meta-analysis of 375,000 individuals identifies 38 susceptibility loci for migraine.","2020-05-08"
"GCST004900","28952330","migraine without aura","Chen SP 2016","0.25","East Asian",3782,"Genome-wide association study identifies novel susceptibility loci for migraine in Han Chinese resided in Taiwan.","2020-05-08"
"GCST003094","26301497","Mitral valve prolapse","Dina C 2015","38.9","European",12082,"Genetic association analyses highlight biological pathways underlying mitral valve prolapse.","2020-05-08"
"GCST002674","25344690","MMR-related febrile seizures","Feenstra B 2014","126.07","European",7100,"Common variants associated with general and MMR vaccine-related febrile seizures.","2020-05-08"
"GCST007537","30808802","Modic type vertebral endplate changes","Freidin M 2019","1.5","European",1829,"Genome-wide meta-analysis identifies genetic locus on chromosome 9 associated with Modic changes.","2020-05-09"
"GCST002114","23918034","molar-incisor hypomineralization","K�hnisch J 2013",NA,"European",668,"Genome-wide association study (GWAS) for molar-incisor hypomineralization (MIH).","2020-05-08"
"GCST002922","26007630","monoclonal gammopathy","Swaminathan B 2015","16.85","European",299532,"Variants in ELL2 influencing immunoglobulin levels associate with multiple myeloma.","2020-05-08"
"GCST007824","30737484","monoclonal gammopathy","Thomsen H 2019","1.25","European",3902,"Genome-wide association study of monoclonal gammopathy of unknown significance (MGUS): comparison with multiple myeloma.","2020-05-10"
"GCST003800","27622933","mood disorder","Li QS 2016","90.1","European",4536,"Analysis of 23andMe antidepressant efficacy survey data: implication of circadian rhythm and neuroplasticity in bupropion response.","2020-05-08"
"GCST003817","27639821","mortality","Scherag A 2016","20.45","European",3274,"Genetic Factors of the Disease Course after Sepsis: A Genome-Wide Study for 28Day Mortality.","2020-05-08"
"GCST005078","27029810","mortality","Joshi PK 2016","183.246","European|African unspecified|African American or Afro-Caribbean|South Asian|East Asian",299843,"Variants near CHRNA3/5 and APOE have age- and sex-related effects on human lifespan.","2020-05-09"
"GCST003421","27064253","mosaic loss of chromosome Y measurement","Zhou W 2016","48.8","European|African unspecified",12369,"Mosaic loss of chromosome Y is associated with common variation near TCL1A.","2020-05-08"
"GCST000860","21048783","Moyamoya disease","Kamada F 2010","3.25","East Asian",225,"A genome-wide association study identifies RNF213 as the first Moyamoya disease gene.","2020-05-08"
"GCST005575","29273593","Moyamoya disease","Duan L 2017","3.25","East Asian",6553,"Novel Susceptibility Loci for Moyamoya Disease Revealed by a Genome-Wide Association Study.","2020-05-08"
"GCST000314","19132087","mucocutaneous lymph node syndrome","Burgner D 2009",NA,"European",2764,"A genome-wide association study identifies novel and functionally related susceptibility Loci for Kawasaki disease.","2020-05-07"
"GCST000939","21221998","mucocutaneous lymph node syndrome","Kim JJ 2011",NA,"East Asian",2342,"A genome-wide association analysis reveals 1p31 and 2p13.3 as susceptibility loci for Kawasaki disease.","2020-05-07"
"GCST000962","21326860","mucocutaneous lymph node syndrome","Tsai FJ 2011","0.25","East Asian",1270,"Identification of novel susceptibility Loci for kawasaki disease in a Han chinese population by a genome-wide association study.","2020-05-09"
"GCST001322","22081228","mucocutaneous lymph node syndrome","Khor CC 2011","3.75","Other|European|East Asian",12431,"Genome-wide association study identifies FCGR2A as a susceptibility locus for Kawasaki disease.","2020-05-07"
"GCST001455","22446962","mucocutaneous lymph node syndrome","Onouchi Y 2012","2.25","East Asian",5508,"A genome-wide association study identifies three new risk loci for Kawasaki disease.","2020-05-08"
"GCST001456","22446961","mucocutaneous lymph node syndrome","Lee YC 2012","0.5","East Asian",2540,"Two new susceptibility loci for Kawasaki disease identified through genome-wide association analysis.","2020-05-08"
"GCST004859","28886140","mucocutaneous lymph node syndrome","Kwon YC 2017","1","East Asian",7110,"Male-specific association of the FCGR2A His167Arg polymorphism with Kawasaki disease.","2020-05-08"
"GCST008314","30971808","mucocutaneous lymph node syndrome","Kim JJ 2019","0.75","East Asian",1538,"Identification of SAMD9L as a susceptibility locus for intravenous immunoglobulin resistance in Kawasaki disease by genome-wide association analysis.","2020-05-09"
"GCST007280","30760885","multiple births measurement","Mbarek H 2019","13.85","European",418553,"Biological insights into multiple birth: genetic findings from UK Biobank.","2020-05-09"
"GCST001331","22120009","multiple myeloma","Broderick P 2011","3.25","European",8674,"Common variation at 3p22.1 and 7p15.3 influences multiple myeloma risk.","2020-05-07"
"GCST001906","23502783","multiple myeloma","Weinhold N 2013","16.3","European",8966,"The CCND1 c.870G>A polymorphism is a risk factor for t(11;14)(q13;q32) multiple myeloma.","2020-05-07"
"GCST001907","23502783","multiple myeloma","Weinhold N 2013","16.3","European",8966,"The CCND1 c.870G>A polymorphism is a risk factor for t(11;14)(q13;q32) multiple myeloma.","2020-05-08"
"GCST002140","23955597","multiple myeloma","Chubb D 2013","112.25","European",15682,"Common variation at 3q26.2, 6p21.33, 17p11.2 and 22q13.1 influences multiple myeloma risk.","2020-05-08"
"GCST002921","26007630","multiple myeloma","Swaminathan B 2015","16.85","European",227446,"Variants in ELL2 influencing immunoglobulin levels associate with multiple myeloma.","2020-05-08"
"GCST003051","26198393","multiple myeloma","Ziv E 2015","12.25","European|African American or Afro-Caribbean|Other|Hispanic or Latin American",1635,"Genome-wide association study identifies variants at 16p13 associated with survival in multiple myeloma patients.","2020-05-08"
"GCST003964","28317148","multiple myeloma","Campo C 2016","0.5","European",646,"Bortezomib-induced peripheral neuropathy: A genome-wide association study on multiple myeloma patients.","2020-05-08"
"GCST004483","27363682","multiple myeloma","Mitchell JS 2016","41.05","European",249054,"Genome-wide association study identifies multiple susceptibility loci for multiple myeloma.","2020-05-10"
"GCST006432","30213928","multiple myeloma","Went M 2018","30.05","European",257530,"Identification of multiple risk loci and regulatory mechanisms influencing susceptibility to multiple myeloma.","2020-05-09"
"GCST009680","31935283","multiple myeloma","Du Z 2020","0.75","African American or Afro-Caribbean|African unspecified",10684,"A meta-analysis of genome-wide association studies of multiple myeloma among men and women of African ancestry.","2020-05-10"
"GCST000062","17660530","multiple sclerosis","Hafler DA 2007","32.608","European",9280,"Risk alleles for multiple sclerosis identified by a genomewide study.","2020-05-10"
"GCST000252","18941528","multiple sclerosis","Comabella M 2008","3","European",2070,"Identification of a novel risk locus for multiple sclerosis at 13q31.3 by a pooled genome-wide scan of 500,000 single nucleotide polymorphisms.","2020-05-07"
"GCST000263","18997785","multiple sclerosis","Aulchenko YS 2008","4","European",6560,"Genetic variation in the KIF1B locus influences susceptibility to multiple sclerosis.","2020-05-08"
"GCST000424","19525953","multiple sclerosis","De Jager PL 2009","6","European",14175,"Meta-analysis of genome scans and replication identify CD6, IRF8 and TNFRSF1A as new multiple sclerosis susceptibility loci.","2020-05-09"
"GCST000425","19525955","multiple sclerosis","Bahlo M 2009","4","European",9597,"Genome-wide association study identifies new multiple sclerosis susceptibility loci on chromosomes 12 and 20.","2020-05-07"
"GCST000593","20159113","multiple sclerosis","Jakkula E 2010",NA,"European",14917,"Genome-wide association study in a high-risk isolate for multiple sclerosis reveals associated variants in STAT3 gene.","2020-05-08"
"GCST000680","20453840","multiple sclerosis","Sanna S 2010","2","European",5534,"Variants within the immunoregulatory CBLB gene are associated with multiple sclerosis.","2020-05-07"
"GCST000716","20598377","multiple sclerosis","Nischwitz S 2010",NA,"European",1415,"Evidence for VAV2 and ZNF433 as susceptibility genes for multiple sclerosis.","2020-05-07"
"GCST001096","21654844","multiple sclerosis","Briggs FB 2011","2","European",1470,"Genome-wide association study of severity in multiple sclerosis.","2020-05-07"
"GCST001198","21833088","multiple sclerosis","Sawcer S 2011","109.49","European",38135,"Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis.","2020-05-09"
"GCST001341","22190364","multiple sclerosis","Patsopoulos NA 2011","0.75","European",17698,"Genome-wide meta-analysis identifies novel multiple sclerosis susceptibility loci.","2020-05-09"
"GCST001459","22457343","multiple sclerosis","Martinelli-Boneschi F 2012","1","European",1208,"A genome-wide association study in progressive multiple sclerosis.","2020-05-07"
"GCST001505","22570697","multiple sclerosis","Matesanz F 2012","6.8","European",12410,"Genome-wide association study of multiple sclerosis confirms a novel locus at 5p13.1.","2020-05-08"
"GCST002758","25616667","multiple sclerosis","Goris A 2015","21.004","European",6504,"Genetic variants are major determinants of CSF antibody levels in multiple sclerosis.","2020-05-08"
"GCST003193","26644207","multiple sclerosis","Clarelli F 2015","5.5","European",337,"Pharmacogenetic study of long-term response to interferon-� treatment in multiple sclerosis.","2020-05-08"
"GCST003566","27386562","multiple sclerosis","Andlauer TF 2016","168.88","European",21509,"Novel multiple sclerosis susceptibility loci implicated in epigenetic regulation.","2020-05-09"
"GCST004290","28445677","multiple sclerosis","Steri M 2017","210.954","European",25344,"Overexpression of the Cytokine BAFF and Autoimmunity Risk.","2020-05-08"
"GCST005531","24076602","multiple sclerosis","Beecham AH 2013","165.412","European",80094,"Analysis of immune-related loci identifies 48 new susceptibility variants for multiple sclerosis.","2020-05-08"
"GCST009560","31289819","multiple sclerosis","Fitzgerald KC 2019","67.9","European",835,"Early complement genes are associated with visual system degeneration in multiple sclerosis.","2020-05-10"
"GCST009597","31604244","multiple sclerosis","International Multiple Sclerosis Genetics Consortium 2019","325.454","European",115804,"Multiple sclerosis genomic map implicates peripheral immune cells and microglia in susceptibility.","2020-05-10"
"GCST003784","27629089","multiple system atrophy","Sailer A 2016","3.25","European",4782,"A genome-wide association study in multiple system atrophy.","2020-05-08"
"GCST002838","25643325","myasthenia gravis","Renton AE 2015","17.5","European",3839,"A genome-wide association study of myasthenia gravis.","2020-05-08"
"GCST009516","31738830","myelodysplastic syndrome","McGraw KL 2019","0.5","European",6512,"Non-del(5q) myelodysplastic syndromes-associated loci detected by SNP-array genome-wide association meta-analysis.","2020-05-10"
"GCST002840","25849990","myeloproliferative disorder","Tapper W 2015","10.25","European",15228,"Genetic variation at MECOM, TERT, JAK2 and HBS1L-MYB predisposes to myeloproliferative neoplasms.","2020-05-08"
"GCST000030","17478679","myocardial infarction","Helgadottir A 2007","86.194","European",17624,"A common variant on chromosome 9p21 affects the risk of myocardial infarction.","2020-05-07"
"GCST000340","19198609","myocardial infarction","Kathiresan S 2009","88.362","European",25534,"Genome-wide association of early-onset myocardial infarction with single nucleotide polymorphisms and copy number variants.","2020-05-08"
"GCST002475","24916648","myocardial infarction","Hirokawa M 2014","0.5","East Asian",44673,"A genome-wide association study identifies PLCL2 and AP3D1-DOT1L-SF3A2 as new susceptibility loci for myocardial infarction in Japanese.","2020-05-08"
"GCST003117","26343387","myocardial infarction","Nikpay M 2015","198.986","African American or Afro-Caribbean|Hispanic or Latin American|South Asian|Greater Middle Eastern (Middle Eastern North African or Persian)|East Asian|European",166459,"A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease.","2020-05-08"
"GCST003430","26950853","myocardial infarction","Dehghan A 2016","5.6","European|African American or Afro-Caribbean",68950,"Genome-Wide Association Study for Incident Myocardial Infarction and Coronary Heart Disease in Prospective Cohort Studies: The CHARGE Consortium.","2020-05-08"
"GCST003471","26708285","myocardial infarction","Wakil SM 2016","172.6","Greater Middle Eastern (Middle Eastern North African or Persian)",5668,"A genome-wide association study reveals susceptibility loci for myocardial infarction/coronary artery disease in Saudi Arabs.","2020-05-08"
"GCST009817","32066683","myocarditis","Lacaze P 2020",NA,"European",95,"Genetic associations with clozapine-induced myocarditis in patients with schizophrenia.","2020-05-10"
"GCST009962","31816047","Myopia","Boutin TS 2019","13.58","European",50372,"Insights into the genetic basis of retinal detachment.","2020-05-13"
"GCST005715","29725004","myopic maculopathy severity measurement","Hosoda Y 2018","1","East Asian",7755,"CCDC102B confers risk of low vision and blindness in high myopia.","2020-05-09"
"GCST003092","26291516","myositis","Miller FW 2015","13","European",6434,"Genome-wide association study identifies HLA 8.1 ancestral haplotype alleles as major genetic risk factors for myositis phenotypes.","2020-05-08"
"GCST006051","26362759","myositis","Rothwell S 2015","13.1","European",18207,"Dense genotyping of immune-related loci in idiopathic inflammatory myopathies confirms HLA alleles as the strongest genetic risk factor and suggests different genetic background for major clinical subgroups.","2020-05-09"
"GCST007278","30573655","myositis","Acosta-Herrera M 2018","8.1","European",31408,"Genome-wide meta-analysis reveals shared new loci in systemic seropositive rheumatic diseases.","2020-05-10"
"GCST000236","18820697","narcolepsy with cataplexy","Miyagawa T 2008",NA,"East Asian|European|African American or Afro-Caribbean",2353,"Variant between CPT1B and CHKB associated with susceptibility to narcolepsy.","2020-05-07"
"GCST000385","19412176","narcolepsy with cataplexy","Hallmayer J 2009","33.344","East Asian|European|African American or Afro-Caribbean",4042,"Narcolepsy is strongly associated with the T-cell receptor alpha locus.","2020-05-07"
"GCST000771","20711174","narcolepsy with cataplexy","Hor H 2010","10.288","European",2129,"Genome-wide association study identifies new HLA class II haplotypes strongly protective against narcolepsy.","2020-05-09"
"GCST002260","24204295","narcolepsy with cataplexy","Han F 2013","10.2","East Asian|European",17374,"Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.","2020-05-08"
"GCST002912","25986216","narcolepsy with cataplexy","Toyoda H 2015","1.25","East Asian",3080,"A polymorphism in CCR1/CCR3 is associated with narcolepsy.","2020-05-07"
"GCST005522","23459209","narcolepsy with cataplexy","Faraco J 2013","6.1","European",12307,"ImmunoChip study implicates antigen presentation to T cells in narcolepsy.","2020-05-09"
"GCST007443","30643255","Nasal cavity polyp","Kristjansson RP 2019","37.4","European",719047,"A loss-of-function variant in ALOX15 protects against nasal polyps and chronic rhinosinusitis.","2020-05-09"
"GCST000413","19478819","nasopharyngeal neoplasm","Ng CC 2009",NA,"East Asian",791,"A genome-wide association study identifies ITGA9 conferring risk of nasopharyngeal carcinoma.","2020-05-07"
"GCST000460","19664746","nasopharyngeal neoplasm","Tse KP 2009",NA,"East Asian",2837,"Genome-wide association study reveals multiple nasopharyngeal carcinoma-associated loci within the HLA region at chromosome 6p21.3.","2020-05-09"
"GCST000687","20512145","nasopharyngeal neoplasm","Bei JX 2010","15","East Asian",10331,"A genome-wide association study of nasopharyngeal carcinoma identifies three new susceptibility loci.","2020-05-08"
"GCST003578","27436580","nasopharyngeal neoplasm","Cui Q 2016","9.25","East Asian",15616,"An extended genome-wide association study identifies novel susceptibility loci for nasopharyngeal carcinoma.","2020-05-08"
"GCST007200","30299488","nasopharyngeal neoplasm","Wang TM 2018","2.25","",2942,"Genome-Wide Association Study of Susceptibility Loci for Radiation-Induced Brain Injury.","2020-05-09"
"GCST000448","19620980","neoplasm of mature b-cells","Skibola CF 2009","9","European",4022,"Genetic variants at 6p21.33 are associated with susceptibility to follicular lymphoma.","2020-05-07"
"GCST000734","20639881","neoplasm of mature b-cells","Conde L 2010",NA,"European",10803,"Genome-wide association study of follicular lymphoma identifies a risk locus at 6p21.32.","2020-05-09"
"GCST001051","21533074","neoplasm of mature b-cells","Smedby KE 2011",NA,"European",6171,"GWAS of follicular lymphoma reveals allelic heterogeneity at 6p21.32 and suggests shared genetic susceptibility with diffuse large B-cell lymphoma.","2020-05-07"
"GCST002643","25279986","neoplasm of mature b-cells","Skibola CF 2014","19.25","European",17867,"Genome-wide association study identifies five susceptibility loci for follicular lymphoma outside the HLA region.","2020-05-08"
"GCST001500","22544364","nephroblastoma","Turnbull C 2012","7.524","European",7975,"A genome-wide association study identifies susceptibility loci for Wilms tumor.","2020-05-09"
"GCST001018","21441931","nephrotic syndrome","Okamoto K 2011","1","East Asian",7322,"Common variation in GPC5 is associated with acquired nephrotic syndrome.","2020-05-08"
"GCST006246","30012571","nephrotic syndrome","Jia X 2018","119.1","East Asian",1571,"Strong Association of the HLA-DR/DQ Locus with Childhood Steroid-Sensitive Nephrotic Syndrome in the Japanese Population.","2020-05-09"
"GCST006252","29903748","nephrotic syndrome","Debiec H 2018","104.53","European|African unspecified|Greater Middle Eastern (Middle Eastern North African or Persian)",3652,"Transethnic, Genome-Wide Analysis Reveals Immune-Related Risk Alleles and Phenotypic Correlates in Pediatric Steroid-Sensitive Nephrotic Syndrome.","2020-05-09"
"GCST008456","31263063","nephrotic syndrome","Dufek S 2019","14.35","European",6064,"Genetic Identification of Two Novel Loci Associated with Steroid-Sensitive Nephrotic Syndrome.","2020-05-10"
"GCST000188","18463370","neuroblastoma","Maris JM 2008","3","European",5923,"Chromosome 6p22 locus associated with clinically aggressive neuroblastoma.","2020-05-07"
"GCST000384","19412175","neuroblastoma","Capasso M 2009","21","European",4930,"Common variations in BARD1 influence susceptibility to high-risk neuroblastoma.","2020-05-07"
"GCST000901","21124317","neuroblastoma","Wang K 2010","3","European",8348,"Integrative genomics identifies LMO1 as a neuroblastoma oncogene.","2020-05-07"
"GCST001660","22941191","neuroblastoma","Diskin SJ 2012","48.046","European|African American or Afro-Caribbean",10290,"Common variation at 6q16 within HACE1 and LIN28B influences susceptibility to neuroblastoma.","2020-05-07"
"GCST004510","28545128","neuroblastoma","McDaniel LD 2017","11.72","European|African American or Afro-Caribbean",11862,"Common variants upstream of MLF1 at 3q25 and within CPZ at 4p16 associated with neuroblastoma.","2020-05-08"
"GCST004883","28924153","neuroblastoma","Chang X 2017","70.546","European",7168,"Common variants in MMP20 at 11q22.2 predispose to 11q deletion and neuroblastoma risk.","2020-05-08"
"GCST004884","28924153","neuroblastoma","Chang X 2017","70.546","European",5178,"Common variants in MMP20 at 11q22.2 predispose to 11q deletion and neuroblastoma risk.","2020-05-10"
"GCST004885","28924153","neuroblastoma","Chang X 2017","70.546","European",5369,"Common variants in MMP20 at 11q22.2 predispose to 11q deletion and neuroblastoma risk.","2020-05-10"
"GCST005964","29769526","neuromyelitis optica","Estrada K 2018","51.45","European",1475,"A whole-genome sequence study identifies genetic risk factors for neuromyelitis optica.","2020-05-08"
"GCST002507","24974787","neuropathic pain","Meng W 2014",NA,"European",3063,"A genome-wide association study suggests an association of Chr8p21.3 (GFRA2) with diabetic neuropathic pain.","2020-05-08"
"GCST003063","26629533","neuropathic pain","Meng W 2015","2.5","",4221,"A Genome-wide Association Study Provides Evidence of Sex-specific Involvement of Chr1p35.1 (ZSCAN20-TLR12P) and Chr8p23.1 (HMGB1P46) With Diabetic Neuropathic Pain.","2020-05-08"
"GCST003963","28051079","neuropathic pain","Warner SC 2017",NA,"",613,"Genome-wide association scan of neuropathic pain symptoms post total joint replacement highlights a variant in the protein-kinase C gene.","2020-05-09"
"GCST000063","17667963","neurotic disorder","Shifman S 2007","7.418","European",3587,"A whole genome association study of neuroticism using DNA pooling.","2020-05-07"
"GCST000010","17158188","nicotine dependence","Bierut LJ 2006","15","European",1929,"Novel genes identified in a high-density genome wide association study for nicotine dependence.","2020-05-07"
"GCST005211","29196614","nodular sclerosis Hodgkin lymphoma","Sud A 2017","116.91","European",20258,"Genome-wide association study of classical Hodgkin lymphoma identifies key regulators of disease susceptibility.","2020-05-08"
"GCST008741","30098192","Non-accomodative esotropia","Shaaban S 2018","39.202","European",5954,"Genome-Wide Association Study Identifies a Susceptibility Locus for Comitant Esotropia and Suggests a Parent-of-Origin Effect.","2020-05-08"
"GCST001576","22719876","non-alcoholic fatty liver disease","Kawaguchi T 2012","0.25","East Asian",1461,"Genetic polymorphisms of the human PNPLA3 gene are strongly associated with severity of non-alcoholic fatty liver disease in Japanese.","2020-05-09"
"GCST001766","23213074","non-alcoholic fatty liver disease","Adams LA 2012","1","European",928,"Association between liver-specific gene polymorphisms and their expression levels with nonalcoholic fatty liver disease.","2020-05-07"
"GCST005190","29271184","non-alcoholic fatty liver disease","Chung GE 2017","0.5","East Asian",6290,"Genetic Polymorphisms of PNPLA3 and SAMM50 Are Associated with Nonalcoholic Fatty Liver Disease in a Korean Population.","2020-05-08"
"GCST005308","29385134","non-alcoholic fatty liver disease","Kawaguchi T 2018","0.5","East Asian",8574,"Risk estimation model for nonalcoholic fatty liver disease in the Japanese using multiple genetic markers.","2020-05-08"
"GCST008468","31311600","non-alcoholic fatty liver disease","Namjou B 2019","4.35","European",9677,"GWAS and enrichment analyses of non-alcoholic fatty liver disease identify new trait-associated genes and pathways across eMERGE Network.","2020-05-10"
"GCST008876","31430377","non-lobar intracerebral hemorrhage","Chung J 2019","20.65","European",2716,"Genome-wide association study of cerebral small vessel disease reveals established and novel loci.","2020-05-10"
"GCST005896","29739929","non-melanoma skin carcinoma","Visconti A 2018","323.42","",187652,"Genome-wide association study in 176,678 Europeans reveals genetic loci for tanning response to sun exposure.","2020-05-10"
"GCST008436","26534935","non-obstructive coronary artery disease","Weng L 2015","18.75","European",1335,"Genetic loci associated with nonobstructive coronary artery disease in Caucasian women.","2020-05-08"
"GCST000815","20876614","non-small cell lung carcinoma","Yoon KA 2010",NA,"East Asian",4436,"A genome-wide association study reveals susceptibility variants for non-small cell lung cancer in the Korean population.","2020-05-09"
"GCST000871","21079520","non-small cell lung carcinoma","Sato Y 2010",NA,"East Asian",105,"Genome-wide association study on overall survival of advanced non-small cell lung cancer patients treated with carboplatin and paclitaxel.","2020-05-07"
"GCST001210","21866343","non-small cell lung carcinoma","Ahn MJ 2011","3","East Asian",2336,"The 18p11.22 locus is associated with never smoker non-small cell lung cancer susceptibility in Korean populations.","2020-05-07"
"GCST001558","22664479","non-small cell lung carcinoma","Han JY 2012","4","",247,"A genome-wide association study for irinotecan-related severe toxicities in patients with advanced non-small-cell lung cancer.","2020-05-09"
"GCST001629","22872573","non-small cell lung carcinoma","Hu L 2012","1","East Asian|European",1277,"Genome-wide association study of prognosis in advanced non-small cell lung cancer patients receiving platinum-based chemotherapy.","2020-05-07"
"GCST001827","23341777","non-small cell lung carcinoma","Dong J 2013","0.5","East Asian",12559,"Genome-wide association study identifies a novel susceptibility locus at 12q23.1 for lung squamous cell carcinoma in han chinese.","2020-05-07"
"GCST001901","23478653","non-small cell lung carcinoma","Han JY 2013",NA,"",139,"A genome-wide association study of survival in small-cell lung cancer patients treated with irinotecan plus cisplatin chemotherapy.","2020-05-08"
"GCST002412","24737549","non-small cell lung carcinoma","Yoon KA 2014","0.25","East Asian",558,"Genetic variations associated with postoperative recurrence in stage I non-small cell lung cancer.","2020-05-08"
"GCST002577","25145502","non-small cell lung carcinoma","Tang S 2014",NA,"East Asian",681,"Genome-wide association study of survival in early-stage non-small cell lung cancer.","2020-05-07"
"GCST008834","31326317","non-small cell lung carcinoma","Dai J 2019","8.1","East Asian|European",54475,"Identification of risk loci and a polygenic risk score for lung cancer: a large-scale prospective cohort study in Chinese populations.","2020-05-10"
"GCST005590","29523850","non-typhoidal Salmonella bacteremia","Gilchrist JJ 2018","5.25","Sub-Saharan African",3591,"Risk of nontyphoidal Salmonella bacteraemia in African children is modified by STAT4.","2020-05-08"
"GCST007240","30677029","obese body mass index status","Riveros-McKay F 2019","1332.794","European",30053,"Genetic architecture of human thinness compared to severe obesity.","2020-05-09"
"GCST007241","30677029","obese body mass index status","Riveros-McKay F 2019","1332.794","European",101733,"Genetic architecture of human thinness compared to severe obesity.","2020-05-10"
"GCST000129","18159244","obesity","Hinney A 2007",NA,"European",3842,"Genome wide association (GWA) study for early onset extreme obesity supports the role of fat mass and obesity associated gene (FTO) variants.","2020-05-07"
"GCST000317","19151714","obesity","Meyre D 2009","16.184","European",16982,"Genome-wide association study for early-onset and morbid adult obesity identifies three new risk loci in European populations.","2020-05-10"
"GCST000426","19553259","obesity","Cotsapas C 2009",NA,"European",3972,"Common body mass index-associated variants confer risk of extreme obesity.","2020-05-09"
"GCST000663","20421936","obesity","Scherag A 2010","8.072","European",8525,"Two new Loci for body-weight regulation identified in a joint analysis of genome-wide association studies for early-onset extreme obesity in French and german study groups.","2020-05-09"
"GCST001130","21708048","obesity","Jiao H 2011",NA,"European",10664,"Genome wide association study identifies KCNMA1 contributing to human obesity.","2020-05-07"
"GCST001957","23563609","obesity","Wheeler E 2013","97.618","European",9850,"Genome-wide SNP and CNV analysis identifies common and low-frequency variants associated with severe early-onset obesity.","2020-05-09"
"GCST009673","31852448","obesity","Chiang KM 2019","1","East Asian",11962,"Genome-wide association study of morbid obesity in Han Chinese.","2020-05-10"
